TCID,Tytuł,Warunki wstępne,ID Kroku,Opis kroku,Oczekiwany rezultat
1,losowe wyswietlanie zadan,działające środowisko desktopowe,1.1,uruchomienie aplikacji,zadania uszeregowane przypadkowo
,,,1.2,zapisac kolejnosc zadań,np.. xyz
,,,1.3,zamknięcie aplikacji,
,,,2.1,drugie uruchomienie aplikacji,kolejnosc zadań jest inna niż w pierwszej próbie
,,,2.2,weryfiklacja listy zadan,np.. zxy
,,,2.3,zamknięcie aplikacji,
AAA1,Zakładanie konta z loginem dłuższym niż 8 znaków,Użytkkownik nie jest zalogowany,1,Otwórz aplikację MrBuggy3,
,,,2,Załóż nowe konto,
,,,3,Wpisz login zawierający więcej niż 8 znaków,"Okno loginu zostanie poświetlone na czerwono, wyświetli się informacja o zbyt długim loginie"
AAA3,Blokada konta po 3 krotnym wpisaniu niepoprawnego hasła,,1,Wpisnaie Loginu,Blokada konta
,,,2,Wpisanie niepoprawnego hasła,
,,,3,Ponowne wpisanie niepoprawnego hasła,
,,,4,Ponowne wpisanie niepoprawnego hasła,
AAA4,Procedura zmiany hasła przy logowaniu,"1.Uruchomiony program
2.Użytkownik istnieje w bazie",,,
,,,1,"Kliknij ""zapomniałem hasła""",
,,,2,"Wpisz adres e-mail, do którego przypisano dane konto",
,,,3,Zaloguj się na dany e-mail,
,,,4,Kliknij w link w wiadomości,
,,,5,Wpisz nowe hasło zgodne z polityką nadawnia hasła,
,,,6,Powtórz to hasło,
,,,7,Zatwierdź odpowiednim przyciskiem,"Otrzymałeś informację o pomyślnej zmianie hasła, hasło zostało zmienione - możesz się zalogować przy jego użyciu."
AAA5,"Tworzenie kopii zapasowej po naciśnięciu ""Znalazłem defekt""",,1,"Wciśnięcie przycisku ""Znalazłem defekt""",Tworzenie kopii zapasowej
AAA6,Utrata internetu w trakcie korzystania z aplikacji,Użytkownik jest zalogowany,1,Otwórz aplikację MrBuggy3,
,,,2,Zgłoś defekt,Została utworzona kopia zapasowa
,,,3,Odłącz Internet od komputera,"Aplikacja działa dalej, zmienia się status połączenia ""brak dostępu do internetu"""
AAA7,Minimalna ilośc zadań w aplikacji,,1,Otwarcie aplikacji,
,,,2,Liczba zadań po otwarciu aplikacji powinna być nie mniejsza niż 15,w aplikacj znajduje się min 15 zadań
RT01,MrBuggy_Eksport_pliku,"Otwarte okno folderu o ścieżce: C:\tralala.Użytkownik zalogowany na konto: Konto-10: e-mail: jakis@tam.com, hasło: Kasza1-Manna2",1,"Naciśnij przycisk ""Zakończ""",Zakończenie testu i eksport zaszyfrowanego pliku
,,,2,Otwórz okno folderu C:\tralala,W folderze będzie znajdować się plik importowany z MrBuggy
,,,3,Otwórz plik binarny z zadaniami testowymi,W pliku znajdować się będą odpowiednie dane
RT02,MrBuggy_wersja demonstracyjna_ilość zadań,"Użytkownik zalogowany, wersja demonstracyjna dostępna",1,Użytkownik sprawdza liczbę zadań dostępnych w wersji demonstracyjnej,Pojawia się 1 zadanie do rozwiązania
RT03,Logowanie do trybu kapitana większej liczby osób,"Użytkownik zalogowany, aplikacja w wersji kosumenckiej",1,Użytkownik wybiera tryb Kapitana,Wybrany tryb zostaje zimplementowany
,,,2,Użytkownik uruchamia aplikację w wejsji Konsumenckiej na innym urządzeniu,Aplikacja zostaje uruchomiona w wersji Konsumenckiej
,,,3,Użytkownik wybiera tryb Kapitana w tej samej grupie testerskiej,Tryb kapitana jest nieaktywny
RT04,"mrBuggy_Walidacja satusu konta""kapitan""",Isnieje konto: kapitan_1; e-mail:kapitan1@tester.com haslo kapitan_1!,1,Użytkownik wprowadza w pole login: kapitan_1,pole login jest uzupełnione
,,,2,Użytkownik wprowadza w pole haslo: kapitan_1!,pole hasło jest uzupełnione
,,,3,"Użytkownik klika przycisk ""zaloguj""",ekran powitalny urzytkownika kapitan_1 jest wyświetlony
,,,4,"Użytkownik klika guzik ""zaraportuj bład""",Użytkownik Kapitan_1 ma możliwość zaraportowania błędu
RT05,"mrBuggy_Walidacja satusu konta""członka załogi""",Isnieje konto: załoga1_1; e-mail:załoga1@tester.com haslo zaloga1_1!,1,Użytkownik wprowadza w pole login: załoga1_1,pole login jest uzupełnione
